,State,District,Year,Quartar,Trans_Count,Amount
258,Andhra Pradesh,Visakhapatnam,2021,3,69220981,136945652159.26515
259,Andhra Pradesh,Prakasam,2021,3,24116580,63367713446.928055
260,Andhra Pradesh,Anantapur,2021,3,30366444,70291248155.64975
261,Andhra Pradesh,Ysr,2021,3,22439316,60683557724.652336
262,Andhra Pradesh,West Godavari,2021,3,26245039,66647238455.1675
263,Andhra Pradesh,Kurnool,2021,3,26377809,62527453761.59807
264,Andhra Pradesh,Chittoor,2021,3,42628568,89371931753.04831
265,Andhra Pradesh,Guntur,2021,3,41675093,96525353090.12305
266,Andhra Pradesh,Krishna,2021,3,44828275,104417897558.58972
267,Andhra Pradesh,East Godavari,2021,4,48992531,106725597026.00356
268,Andhra Pradesh,Srikakulam,2021,4,18501857,39713657870.15512
269,Andhra Pradesh,Spsr Nellore,2021,4,41921081,92256405076.26547
270,Andhra Pradesh,Vizianagaram,2021,4,17253059,36577529464.9687
271,Andhra Pradesh,Visakhapatnam,2021,4,82711538,159530099772.73474
272,Andhra Pradesh,Prakasam,2021,4,27858275,71323060008.47623
273,Andhra Pradesh,Anantapur,2021,4,36129136,81239787006.64764
274,Andhra Pradesh,Ysr,2021,4,26340348,69081850069.2033
275,Andhra Pradesh,West Godavari,2021,4,33235175,81292461575.08182
276,Andhra Pradesh,Kurnool,2021,4,31782248,73968947669.64754
277,Andhra Pradesh,Chittoor,2021,4,51119640,103985734663.73514
278,Andhra Pradesh,Guntur,2021,4,50919286,115553993673.17337
279,Andhra Pradesh,Krishna,2021,4,55489829,125015323207.89836
280,Andhra Pradesh,East Godavari,2022,1,54738830,121067103712.79568
281,Andhra Pradesh,Srikakulam,2022,1,20990782,46898912115.649216
282,Andhra Pradesh,Spsr Nellore,2022,1,47645702,104895571602.13988
283,Andhra Pradesh,Vizianagaram,2022,1,19278262,41994853361.58879
284,Andhra Pradesh,Visakhapatnam,2022,1,88233362,170120350591.26004
285,Andhra Pradesh,Prakasam,2022,1,31340975,79494373254.71565
286,Andhra Pradesh,Anantapur,2022,1,40613148,90197023268.43825
287,Andhra Pradesh,Ysr,2022,1,29783739,78421693518.90942
288,Andhra Pradesh,West Godavari,2022,1,37271259,92397939903.60938
289,Andhra Pradesh,Kurnool,2022,1,35093633,81568420500.54749
