,State,Year,Quartar,Amount,Insurance_count
467,Telangana,2021,2,20935651.0,28870
468,Telangana,2021,3,20925217.0,27080
469,Telangana,2021,4,38845492.0,34848
470,Telangana,2022,1,51942016.0,36325
471,Telangana,2022,2,58056956.0,45600
472,Telangana,2022,3,64798126.0,51465
473,Telangana,2022,4,88544127.0,64655
474,Telangana,2023,1,82678207.0,54508
475,Telangana,2023,2,79238968.0,55118
476,Telangana,2023,3,84397465.0,61523
477,Telangana,2023,4,105605522.0,63993
478,Tripura,2020,2,22054.0,88
479,Tripura,2020,3,61642.0,249
480,Tripura,2020,4,149765.0,244
481,Tripura,2021,1,191531.0,360
482,Tripura,2021,2,409934.0,381
483,Tripura,2021,3,649961.0,494
484,Tripura,2021,4,1022508.0,702
485,Tripura,2022,1,1493401.0,907
486,Tripura,2022,2,1509105.0,1021
487,Tripura,2022,3,2105984.0,1590
488,Tripura,2022,4,2112534.0,1508
489,Tripura,2023,1,2404958.0,1642
490,Tripura,2023,2,2163813.0,1563
491,Tripura,2023,3,2899393.0,2071
492,Tripura,2023,4,3169741.0,2237
493,Uttar Pradesh,2020,2,1912266.0,9884
494,Uttar Pradesh,2020,3,4436969.0,18131
495,Uttar Pradesh,2020,4,14180417.0,17470
496,Uttar Pradesh,2021,1,18027573.0,24103
497,Uttar Pradesh,2021,2,25137571.0,25952
498,Uttar Pradesh,2021,3,32641118.0,32799
499,Uttar Pradesh,2021,4,59654951.0,44132
500,Uttar Pradesh,2022,1,73014969.0,45996
501,Uttar Pradesh,2022,2,77434953.0,55133
502,Uttar Pradesh,2022,3,87703512.0,64514
503,Uttar Pradesh,2022,4,116755813.0,77022
504,Uttar Pradesh,2023,1,127110494.0,73080
505,Uttar Pradesh,2023,2,122522457.0,74194
506,Uttar Pradesh,2023,3,121483170.0,78940
507,Uttar Pradesh,2023,4,165509877.0,92125
508,Uttarakhand,2020,2,134899.0,660
509,Uttarakhand,2020,3,418543.0,1403
510,Uttarakhand,2020,4,1961891.0,1756
511,Uttarakhand,2021,1,2719327.0,2607
512,Uttarakhand,2021,2,3265717.0,2742
513,Uttarakhand,2021,3,4646571.0,4111
514,Uttarakhand,2021,4,7849020.0,5529
515,Uttarakhand,2022,1,8824948.0,5339
516,Uttarakhand,2022,2,9168313.0,5773
517,Uttarakhand,2022,3,10070172.0,6784
518,Uttarakhand,2022,4,13817747.0,8750
519,Uttarakhand,2023,1,13599026.0,7552
520,Uttarakhand,2023,2,14034915.0,8051
521,Uttarakhand,2023,3,12636749.0,7856
522,Uttarakhand,2023,4,19045152.0,10040
523,West Bengal,2020,2,1432764.0,7619
524,West Bengal,2020,3,2878482.0,12596
525,West Bengal,2020,4,7510455.0,10233
526,West Bengal,2021,1,11172042.0,15488
527,West Bengal,2021,2,12396029.0,15200
528,West Bengal,2021,3,21424337.0,24839
529,West Bengal,2021,4,31282871.0,26320
530,West Bengal,2022,1,51160527.0,38779
531,West Bengal,2022,2,41737021.0,33542
532,West Bengal,2022,3,59092307.0,47853
533,West Bengal,2022,4,70466433.0,54277
534,West Bengal,2023,1,77461732.0,56833
535,West Bengal,2023,2,65204280.0,49792
536,West Bengal,2023,3,76359312.0,58131
537,West Bengal,2023,4,100365562.0,72712
