,State,District,Year,Quartar,Registered_Users,App_Open_Count
291,Andhra Pradesh,West Godavari,2022,1,1626039,87642475
292,Andhra Pradesh,Chittoor,2022,1,2270705,144146671
293,Andhra Pradesh,East Godavari,2022,2,2564165,93383888
294,Andhra Pradesh,Srikakulam,2022,2,1086164,51087942
295,Andhra Pradesh,Visakhapatnam,2022,2,3226029,93552701
296,Andhra Pradesh,Prakasam,2022,2,1487589,108172758
297,Andhra Pradesh,Anantapur,2022,2,1928213,181499094
298,Andhra Pradesh,Kurnool,2022,2,1825280,136447455
299,Andhra Pradesh,Guntur,2022,2,2514794,91997209
300,Andhra Pradesh,Krishna,2022,2,2552107,95341487
301,Andhra Pradesh,Spsr Nellore,2022,2,1509927,108755384
302,Andhra Pradesh,Vizianagaram,2022,2,943242,50230853
303,Andhra Pradesh,Ysr,2022,2,1412848,106157470
304,Andhra Pradesh,West Godavari,2022,2,1714357,103338893
305,Andhra Pradesh,Chittoor,2022,2,2392549,158771722
306,Andhra Pradesh,East Godavari,2022,3,2702234,85780890
307,Andhra Pradesh,Srikakulam,2022,3,1147016,46323107
308,Andhra Pradesh,Visakhapatnam,2022,3,3397514,87888969
309,Andhra Pradesh,Prakasam,2022,3,1567520,114185009
310,Andhra Pradesh,Anantapur,2022,3,2030824,181038520
311,Andhra Pradesh,Kurnool,2022,3,1924127,143715547
312,Andhra Pradesh,Guntur,2022,3,2647100,91146114
313,Andhra Pradesh,Krishna,2022,3,2685215,86220959
314,Andhra Pradesh,Spsr Nellore,2022,3,1588875,105928407
315,Andhra Pradesh,Vizianagaram,2022,3,995141,46767889
316,Andhra Pradesh,Ysr,2022,3,1487140,107976611
317,Andhra Pradesh,West Godavari,2022,3,1805967,97509407
318,Andhra Pradesh,Chittoor,2022,3,2517657,162524274
319,Andhra Pradesh,East Godavari,2022,4,2835087,173720880
320,Andhra Pradesh,Srikakulam,2022,4,1204785,72666058
321,Andhra Pradesh,Visakhapatnam,2022,4,3566854,208604256
322,Andhra Pradesh,Prakasam,2022,4,1642503,94432083
323,Andhra Pradesh,Anantapur,2022,4,2128066,136685634
324,Andhra Pradesh,Kurnool,2022,4,2018290,105333688
325,Andhra Pradesh,Guntur,2022,4,2774365,144773169
326,Andhra Pradesh,Krishna,2022,4,2813645,156902257
327,Andhra Pradesh,Spsr Nellore,2022,4,1663684,103101986
328,Andhra Pradesh,Vizianagaram,2022,4,1044490,64406405
329,Andhra Pradesh,Ysr,2022,4,1556901,93975668
330,Andhra Pradesh,West Godavari,2022,4,1893310,129116752
331,Andhra Pradesh,Chittoor,2022,4,2636036,189655966
332,Andhra Pradesh,East Godavari,2023,1,2965296,98931582
333,Andhra Pradesh,Srikakulam,2023,1,1263204,48743038
334,Andhra Pradesh,Visakhapatnam,2023,1,3732544,107253885
335,Andhra Pradesh,Prakasam,2023,1,1719910,112502189
336,Andhra Pradesh,Anantapur,2023,1,2228505,177793392
337,Andhra Pradesh,Kurnool,2023,1,2114023,149581663
338,Andhra Pradesh,Guntur,2023,1,2900895,103514892
339,Andhra Pradesh,Krishna,2023,1,2941585,98727644
340,Andhra Pradesh,Spsr Nellore,2023,1,1740294,111993275
341,Andhra Pradesh,Vizianagaram,2023,1,1094782,55519223
342,Andhra Pradesh,Ysr,2023,1,1628595,109842928
343,Andhra Pradesh,West Godavari,2023,1,1980446,102965151
344,Andhra Pradesh,Chittoor,2023,1,2755784,164669558
345,Andhra Pradesh,East Godavari,2023,2,3082893,101375784
346,Andhra Pradesh,Srikakulam,2023,2,1317771,48040159
347,Andhra Pradesh,Visakhapatnam,2023,2,3877504,115516314
348,Andhra Pradesh,Prakasam,2023,2,1792637,104288559
349,Andhra Pradesh,Anantapur,2023,2,2323796,164437247
350,Andhra Pradesh,Kurnool,2023,2,2202517,142843895
351,Andhra Pradesh,Guntur,2023,2,3014655,97915941
352,Andhra Pradesh,Krishna,2023,2,3054956,99723659
353,Andhra Pradesh,Spsr Nellore,2023,2,1811781,113350865
354,Andhra Pradesh,Vizianagaram,2023,2,1141578,55405616
355,Andhra Pradesh,Ysr,2023,2,1694843,98586928
356,Andhra Pradesh,West Godavari,2023,2,2059880,116005083
357,Andhra Pradesh,Chittoor,2023,2,2865250,170462384
358,Andhra Pradesh,East Godavari,2023,3,3211557,83823834
359,Andhra Pradesh,Srikakulam,2023,3,1375950,44064462
360,Andhra Pradesh,Visakhapatnam,2023,3,4035323,116087299
361,Andhra Pradesh,Prakasam,2023,3,1868997,94303883
362,Andhra Pradesh,Anantapur,2023,3,2421293,152875757
363,Andhra Pradesh,Kurnool,2023,3,2295754,124493256
364,Andhra Pradesh,Guntur,2023,3,3137289,71855007
365,Andhra Pradesh,Krishna,2023,3,3177643,73280755
366,Andhra Pradesh,Spsr Nellore,2023,3,1887005,73583227
367,Andhra Pradesh,Vizianagaram,2023,3,1190571,41978556
368,Andhra Pradesh,Ysr,2023,3,1764648,78787151
369,Andhra Pradesh,West Godavari,2023,3,2146530,73274852
370,Andhra Pradesh,Chittoor,2023,3,2981337,129032458
371,Andhra Pradesh,East Godavari,2023,4,3329036,143550882
372,Andhra Pradesh,Srikakulam,2023,4,1430226,48122562
373,Andhra Pradesh,Visakhapatnam,2023,4,4180797,163404880
374,Andhra Pradesh,Prakasam,2023,4,1939979,69411660
375,Andhra Pradesh,Anantapur,2023,4,2512744,123617506
